No.,機能分類,機能,機能概要
1,"共通","メール認証","メールアドレスとパスワードを入力して新規ユーザ登録を開始"
2,"共通","ユーザー情報登録","新規ユーザ登録情報として氏名、郵便番号、住所を入力"
3,"共通","ユーザー情報登録確認","入力したメールアドレスや氏名などの情報を確認、登録ボタンの押下によって新規ユーザ登録を実行"
4,"共通","マイページ表示","自分の登録情報の確認及び、購入履歴と出品履歴へのリンクを表示"
5,"共通","ユーザ情報変更","氏名以外のユーザ情報を変更して保存"
6,"共通","購入履歴表示","購入した商品の画像、商品名、金額、数量、小計の一覧が20件ずつ表示"
7,"共通","出品履歴表示","出品した商品の画像、商品名、金額、在庫数、購入者数が表示"
8,"共通","出品履歴個別詳細表示","出品した個別の商品の画像、商品名、金額、在庫数、購入者氏名・購入者送付先一覧が表示。出品停止ボタンにより出品を中止し、非公開に設定。"
9,"閲覧・購入","出品商品一覧表示","指定したカテゴリの商品画像、商品名、商品金額が4列×5行の20件ずつ一覧で表示"
10,"閲覧・購入","商品詳細表示","商品画像(大)、商品名、金額、商品説明、購入数量の選択、カートに追加ボタンがあり、商品詳細を確認してカート追加することが可能"
11,"閲覧・購入","商品検索結果表示","入力した検索語に関連する商品一覧を表示"
12,"閲覧・購入","ショッピングカート表示","カートに追加した商品の画像、商品名、金額、数量、小計およびカート内の合計金額、買い物継続ボタン、購入手続きボタンが表示。カートに保存された内容は、ログイン時はどのデバイスからでも同一の内容が閲覧でき、明示的に商品をカートから消去、もしくは商品の出品が停止されるまでカートに保存されていること"
13,"閲覧・購入","購入商品送付先入力","購入商品の送付先である郵便番号、住所、電話番号、氏名、お届け予定日を入力。"
14,"閲覧・購入","決済情報表示","カード番号、有効期限、セキュリティコードを入力。"
15,"閲覧・購入","購入確認表示","ここまでに入力した購入手続き情報を表示。"
16,"閲覧・購入","購入完了表示","購入手続き完了し、サンクスページを表示。カートの情報を空にする。※購入手続き途中でユーザが離脱するなど、この画面が表示されるまで購入データは作成されないことに注意。"
17,"出品","新規出品入力","商品画像、商品名、金額、在庫数量、商品説明を入力して出品を行う"
18,"出品","出品内容確認","入力した出品情報を確認"
19,"出品","出品完了","出品完了し、サンクスページを表示"
